job_id,arrival_time,num_iteration,iteration_computing_time,iteration_networking_time,gpu_workers,ps,gpu_per_worker,cpu_per_gpu_worker,cpu_per_ps_worker,tensorsizes,profiled_network
193,4592396.0,442,0.5,0.75,127,0,8.0,15.0,15.0,19.0,1000
194,4612889.0,230398,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
195,4638518.0,31000,0.5,0.75,62,0,8.0,15.0,15.0,19.0,1000
196,4642582.0,4764,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
197,4654276.0,50,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
198,4655648.0,50,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
199,4655790.0,46,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
200,4655998.0,52,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
201,4656047.0,40,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
202,4656844.0,42,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
203,4657021.0,46,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
204,4657034.0,52,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
205,4657079.0,46,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
206,4657159.0,44,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
207,4657293.0,48,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
208,4657361.0,46,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
209,4657730.0,82,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
210,4657893.0,102,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
211,4658547.0,184,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
212,4659000.0,276,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
213,4659739.0,376,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
214,4660635.0,472,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
215,4669794.0,644,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
216,4732792.0,248,0.5,0.75,63,0,8.0,15.0,15.0,12.0,1000
217,4733091.0,782,0.5,0.75,63,0,8.0,15.0,15.0,12.0,1000
218,4738737.0,39722,0.5,0.75,62,0,8.0,15.0,15.0,11.0,1000
219,4758717.0,6606,0.5,0.75,62,0,8.0,15.0,15.0,11.0,1000
220,4759644.0,25400,0.5,0.75,63,0,8.0,15.0,15.0,11.0,1000
221,4772365.0,324,0.5,0.75,64,0,8.0,15.0,15.0,11.0,1000
222,4772605.0,406,0.5,0.75,64,0,8.0,15.0,15.0,11.0,1000
223,4790743.0,164418,0.5,0.75,62,0,8.0,15.0,15.0,11.0,1000
224,4872125.0,49872,0.5,0.75,64,0,8.0,15.0,15.0,11.0,1000
225,4873690.0,402,0.5,0.75,63,0,8.0,15.0,15.0,11.0,1000
226,4897198.0,1764,0.5,0.75,64,0,8.0,15.0,15.0,11.0,1000
227,4899879.0,5392,0.5,0.75,64,0,8.0,15.0,15.0,11.0,1000
228,5121544.0,1251480,0.5,0.75,63,0,8.0,15.0,15.0,11.0,1000
229,5548662.0,504,0.5,0.25,1,0,8.0,15.0,15.0,11.0,500
230,5549179.0,398,0.5,0.25,1,0,8.0,15.0,15.0,11.0,500
231,5550216.0,516,0.5,0.25,1,0,8.0,15.0,15.0,11.0,500
232,5550610.0,1356,0.5,0.25,1,0,8.0,15.0,15.0,11.0,500
233,5575700.0,99012,0.5,0.75,64,0,8.0,15.0,15.0,11.0,1000
234,5634040.0,313124,0.5,0.75,64,0,8.0,15.0,15.0,11.0,1000
235,5789646.0,245428,0.5,0.75,63,0,8.0,15.0,15.0,11.0,1000
236,5790747.0,122,0.5,0.75,64,0,8.0,15.0,15.0,12.0,1000
237,5790969.0,142,0.5,0.75,64,0,8.0,15.0,15.0,12.0,1000
238,5791116.0,126,0.5,0.75,64,0,8.0,15.0,15.0,12.0,1000
239,5791214.0,126,0.5,0.75,64,0,8.0,15.0,15.0,12.0,1000
240,5791323.0,120,0.5,0.75,64,0,8.0,15.0,15.0,12.0,1000
241,5791495.0,138,0.5,0.75,64,0,8.0,15.0,15.0,12.0,1000
242,5791825.0,144,0.5,0.75,64,0,8.0,15.0,15.0,12.0,1000
243,5791949.0,138,0.5,0.75,64,0,8.0,15.0,15.0,12.0,1000
244,5792225.0,128,0.5,0.75,64,0,8.0,15.0,15.0,12.0,1000
245,5793005.0,118,0.5,0.75,64,0,8.0,15.0,15.0,12.0,1000
246,5793190.0,150,0.5,0.75,64,0,8.0,15.0,15.0,12.0,1000
247,5794228.0,350188,0.5,0.75,64,0,8.0,15.0,15.0,11.0,1000
248,5955215.0,3906,0.5,0.25,1,0,8.0,15.0,15.0,19.0,500
249,6031333.0,42,0.5,0.25,4,0,8.0,3.0,3.0,1.0,500
250,6031523.0,44,0.5,0.25,4,0,8.0,3.0,3.0,1.0,500
251,6032845.0,42,0.5,0.25,4,0,8.0,3.0,3.0,1.0,500
252,6037476.0,38,0.5,0.25,4,0,8.0,3.0,3.0,1.0,500
253,6037560.0,38,0.5,0.25,4,0,8.0,3.0,3.0,1.0,500
254,6037869.0,42,0.5,0.25,4,0,8.0,3.0,3.0,1.0,500
255,6038119.0,42,0.5,0.25,4,0,8.0,3.0,3.0,1.0,500
256,6038679.0,34,0.5,0.25,4,0,8.0,3.0,3.0,1.0,500
257,6039214.0,36,0.5,0.25,4,0,8.0,3.0,3.0,1.0,500
258,6039715.0,44,0.5,0.25,4,0,8.0,3.0,3.0,1.0,500
259,6039920.0,34,0.5,0.25,4,0,8.0,3.0,3.0,1.0,500
260,6040788.0,42,0.5,0.25,4,0,8.0,3.0,3.0,1.0,500
261,6047994.0,60,0.5,0.25,1,0,8.0,15.0,15.0,10.0,500
262,6050443.0,16600,0.5,0.75,64,0,8.0,15.0,15.0,11.0,1000
263,6052363.0,4084,0.5,0.75,63,0,8.0,15.0,15.0,11.0,1000
264,6062410.0,50,0.5,0.25,1,0,8.0,15.0,15.0,19.0,500
265,6062793.0,66,0.5,0.25,1,0,8.0,15.0,15.0,19.0,500
266,6063044.0,60,0.5,0.25,1,0,8.0,15.0,15.0,19.0,500
267,6063141.0,56,0.5,0.25,1,0,8.0,15.0,15.0,19.0,500
268,6063151.0,80,0.5,0.25,1,0,8.0,15.0,15.0,19.0,500
269,6063263.0,284,0.5,0.25,1,0,8.0,15.0,15.0,19.0,500
270,6063461.0,48,0.5,0.25,1,0,8.0,15.0,15.0,19.0,500
271,6063761.0,38,0.5,0.25,1,0,8.0,15.0,15.0,19.0,500
272,6063812.0,36,0.5,0.25,1,0,8.0,15.0,15.0,19.0,500
273,6064038.0,664,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
274,6064646.0,62,0.5,0.75,32,0,8.0,15.0,15.0,19.0,1000
275,6064749.0,178,0.5,0.75,64,0,8.0,15.0,15.0,12.0,1000
